"FIRST_NAME","LAST_NAME","SALARY","DEPARTMENT_NAME","CITY","STATE_PROVINCE","COUNTRY_NAME","REGION_NAME"
"Steven","King",24000,"Executive","Seattle","Washington","United States of America","Americas"
"Neena","Yang",17000,"Executive","Seattle","Washington","United States of America","Americas"
"Lex","Garcia",17000,"Executive","Seattle","Washington","United States of America","Americas"
"Alexander","James",9000,"IT","Southlake","Texas","United States of America","Americas"
"Bruce","Miller",6000,"IT","Southlake","Texas","United States of America","Americas"
"David","Williams",4800,"IT","Southlake","Texas","United States of America","Americas"
"Valli","Jackson",4800,"IT","Southlake","Texas","United States of America","Americas"
"Diana","Nguyen",4200,"IT","Southlake","Texas","United States of America","Americas"
"Nancy","Gruenberg",12008,"Finance","Seattle","Washington","United States of America","Americas"
"Daniel","Faviet",9000,"Finance","Seattle","Washington","United States of America","Americas"
"John","Chen",8200,"Finance","Seattle","Washington","United States of America","Americas"
"Ismael","Sciarra",7700,"Finance","Seattle","Washington","United States of America","Americas"
"Jose Manuel","Urman",7800,"Finance","Seattle","Washington","United States of America","Americas"
"Luis","Popp",6900,"Finance","Seattle","Washington","United States of America","Americas"
"Den","Li",11000,"Purchasing","Seattle","Washington","United States of America","Americas"
"Alexander","Khoo",3100,"Purchasing","Seattle","Washington","United States of America","Americas"
"Shelli","Baida",2900,"Purchasing","Seattle","Washington","United States of America","Americas"
"Sigal","Tobias",2800,"Purchasing","Seattle","Washington","United States of America","Americas"
"Guy","Himuro",2600,"Purchasing","Seattle","Washington","United States of America","Americas"
"Karen","Colmenares",2500,"Purchasing","Seattle","Washington","United States of America","Americas"
"Matthew","Weiss",8000,"Shipping","South San Francisco","California","United States of America","Americas"
"Adam","Fripp",8200,"Shipping","South San Francisco","California","United States of America","Americas"
"Payam","Kaufling",7900,"Shipping","South San Francisco","California","United States of America","Americas"
"Shanta","Vollman",6500,"Shipping","South San Francisco","California","United States of America","Americas"
"Kevin","Mourgos",5800,"Shipping","South San Francisco","California","United States of America","Americas"
"Julia","Nayer",3200,"Shipping","South San Francisco","California","United States of America","Americas"
"Irene","Mikkilineni",2700,"Shipping","South San Francisco","California","United States of America","Americas"
"James","Landry",2400,"Shipping","South San Francisco","California","United States of America","Americas"
"Steven","Markle",2200,"Shipping","South San Francisco","California","United States of America","Americas"
"Laura","Bissot",3300,"Shipping","South San Francisco","California","United States of America","Americas"
"Mozhe","Atkinson",2800,"Shipping","South San Francisco","California","United States of America","Americas"
"James","Marlow",2500,"Shipping","South San Francisco","California","United States of America","Americas"
"TJ","Olson",2100,"Shipping","South San Francisco","California","United States of America","Americas"
"Jason","Mallin",3300,"Shipping","South San Francisco","California","United States of America","Americas"
"Michael","Rogers",2900,"Shipping","South San Francisco","California","United States of America","Americas"
"Ki","Gee",2400,"Shipping","South San Francisco","California","United States of America","Americas"
"Hazel","Philtanker",2200,"Shipping","South San Francisco","California","United States of America","Americas"
"Renske","Ladwig",3600,"Shipping","South San Francisco","California","United States of America","Americas"
"Stephen","Stiles",3200,"Shipping","South San Francisco","California","United States of America","Americas"
"John","Seo",2700,"Shipping","South San Francisco","California","United States of America","Americas"
"Joshua","Patel",2500,"Shipping","South San Francisco","California","United States of America","Americas"
"Trenna","Rajs",3500,"Shipping","South San Francisco","California","United States of America","Americas"
"Curtis","Davies",3100,"Shipping","South San Francisco","California","United States of America","Americas"
"Randall","Matos",2600,"Shipping","South San Francisco","California","United States of America","Americas"
"Peter","Vargas",2500,"Shipping","South San Francisco","California","United States of America","Americas"
"John","Singh",14000,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"Karen","Partners",13500,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"Alberto","Errazuriz",12000,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"Gerald","Cambrault",11000,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"Eleni","Zlotkey",10500,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"Sean","Tucker",10000,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"David","Bernstein",9500,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"Peter","Hall",9000,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"Christopher","Olsen",8000,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"Nanette","Cambrault",7500,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"Oliver","Tuvault",7000,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"Janette","King",10000,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"Patrick","Sully",9500,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"Allan","McEwen",9000,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"Lindsey","Smith",8000,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"Louise","Doran",7500,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"Sarath","Sewall",7000,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"Clara","Vishney",10500,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"Danielle","Greene",9500,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"Mattea","Marvins",7200,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"David","Lee",6800,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"Sundar","Ande",6400,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"Amit","Banda",6200,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"Lisa","Ozer",11500,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"Harrison","Bloom",10000,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"Tayler","Fox",9600,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"William","Smith",7400,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"Elizabeth","Bates",7300,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"Sundita","Kumar",6100,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"Ellen","Abel",11000,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"Alyssa","Hutton",8800,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"Jonathon","Taylor",8600,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"Jack","Livingston",8400,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"Charles","Johnson",6200,"Sales","Oxford","Oxford","United Kingdom of Great Britain and Northern Ireland","Europe"
"Winston","Taylor",3200,"Shipping","South San Francisco","California","United States of America","Americas"
"Jean","Fleaur",3100,"Shipping","South San Francisco","California","United States of America","Americas"
"Martha","Sullivan",2500,"Shipping","South San Francisco","California","United States of America","Americas"
"Girard","Geoni",2800,"Shipping","South San Francisco","California","United States of America","Americas"
"Nandita","Sarchand",4200,"Shipping","South San Francisco","California","United States of America","Americas"
"Alexis","Bull",4100,"Shipping","South San Francisco","California","United States of America","Americas"
"Julia","Dellinger",3400,"Shipping","South San Francisco","California","United States of America","Americas"
"Anthony","Cabrio",3000,"Shipping","South San Francisco","California","United States of America","Americas"
"Kelly","Chung",3800,"Shipping","South San Francisco","California","United States of America","Americas"
